"ID"	"State"	"InitialState"
"Pt20.baseline"	"Pt20.baseline"	"S01"	"IS01"
"Pt29.baseline"	"Pt29.baseline"	"S01"	"IS01"
"Pt38.baseline"	"Pt38.baseline"	"S01"	"IS01"
"Pt1.baseline"	"Pt1.baseline"	"S02"	"IS03"
"Pt13.baseline"	"Pt13.baseline"	"S02"	"IS03"
"Pt22.baseline"	"Pt22.baseline"	"S02"	"IS03"
"Pt23.baseline"	"Pt23.baseline"	"S02"	"IS03"
"Pt25.baseline"	"Pt25.baseline"	"S03"	"IS05"
"Pt27A.baseline"	"Pt27A.baseline"	"S03"	"IS05"
