"ID"	"State"	"InitialState"
"Pt38.baseline"	"Pt38.baseline"	"S01"	"IS01"
"Pt32.baseline"	"Pt32.baseline"	"S02"	"IS09"
"Pt13.baseline"	"Pt13.baseline"	"S03"	"IS04"
"Pt2.baseline"	"Pt2.baseline"	"S03"	"IS04"
"Pt22.baseline"	"Pt22.baseline"	"S03"	"IS04"
"Pt23.baseline"	"Pt23.baseline"	"S03"	"IS04"
"Pt8.baseline"	"Pt8.baseline"	"S03"	"IS04"
"Pt9.baseline"	"Pt9.baseline"	"S03"	"IS04"
"Pt29.baseline"	"Pt29.baseline"	"S04"	"IS02"
"Pt20.baseline"	"Pt20.baseline"	"S05"	"IS08"
